time,runtime,ping,adc_vb_f,adc_va_f,adc_vl_f,adc_ic_f,adc_il_f,t_hs,t_batt,t_amb,t_rts,charge_state,array_fault,vb_f,vb_ref,ahc_r,ahc_t,kwhc,load_state,load_fault,v_lvd,ahl_r,ahl_t,hourmeter,alarm,dip_switch,led_state,power_out,power_load,sweep_vmp,sweep_pmax,sweep_voc,vb_min_daily,vb_max_daily,ahc_daily,ahl_daily,array_fault_daily,load_fault_daily,alarm_daily,vb_min,vb_max,sensor_uptime,sequence_count,timestamp,crc_errors,crc_errors_delta,crc_errors_hourly,crc_errors_daily,valid_packets,trigger_delta,trigger_rate_1min,trigger_rate_5min,trigger_rate_1hr,bytes_read,bytes_written,bytes_remaining,triggers_remaining,packets_sent,packets_dropped
2020-01-24 00:00:52.968092,55.28,1,12.784,0.925,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:01:52.968081,55.3,1,12.781,0.931,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:02:52.968082,55.32,1,12.781,0.949,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:03:52.968056,55.33,1,12.784,0.958,0.0,0.0,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:04:52.968103,55.35,2,12.781,0.964,0.0,0.0,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:05:52.968089,55.37,2,12.781,0.977,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:06:52.968103,55.38,2,12.781,1.028,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:07:52.968079,55.4,2,12.781,1.038,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:08:52.968094,55.42,2,12.784,1.065,0.0,0.0,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
2020-01-24 00:09:52.968072,55.43,1,12.781,1.071,0.0,0.002,0.0,10.0,10.0,10.0,25.0,3.0,0.0,12.784,0.0,783.1,783.1,10.7,5.0,0.0,11.499,658.0,658.0,9122.0,1.0,1101.0,11.0,0.0,0.0,8.365,4.394,11.154,12.781,12.796,0.0,0.0,0.0,0.0,1.0,9.439,19.47,,,,,,,,,,,,,,,,,,
