time,runtime,ping,adc_vb_f,adc_va_f,adc_vl_f,adc_ic_f,adc_il_f,t_hs,t_batt,t_amb,t_rts,charge_state,array_fault,vb_f,vb_ref,ahc_r,ahc_t,kwhc,load_state,load_fault,v_lvd,ahl_r,ahl_t,hourmeter,alarm,dip_switch,led_state,power_out,power_load,power_net,charge_net_24h,sweep_vmp,sweep_pmax,sweep_voc,vb_min_daily,vb_max_daily,ahc_daily,ahl_daily,array_fault_daily,load_fault_daily,alarm_daily,vb_min,vb_max,sensor_uptime,sequence_count,timestamp,crc_errors,crc_errors_delta,crc_errors_hourly,crc_errors_daily,valid_packets,trigger_delta,trigger_rate_1min,trigger_rate_5min,trigger_rate_1hr,bytes_read,bytes_written,bytes_remaining,triggers_remaining,packets_sent,packets_dropped
2019-10-26 00:00:23.292578,447.27,0,12.222,1.028,12.192,0.0,1.169,18.0,20.0,20.0,25.0,3.0,0.0,12.222,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.8,1841.8,7052.0,1.0,1101.0,6.0,0.0,14.252,-17.052,-293.327,7.559,4.545,10.08,12.167,12.222,0.0,0.6,0.0,0.0,1,9.439,19.47,54.51,196237.0,2019-10-26 13:35:51.052000,1.0,0.0,0.0,0.0,4633.0,0.0,0.0,1.4,0.917,127.52,101.93,393.27,17876.0,0.0,0.0
2019-10-26 00:01:23.292601,447.28,0,12.222,1.022,12.192,0.0,1.208,18.0,20.0,20.0,25.0,3.0,0.0,12.222,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.8,1841.8,7052.0,1.0,1101.0,6.0,0.0,14.728,-17.528,-293.332,7.559,4.545,10.08,12.167,12.222,0.0,0.6,0.0,0.0,1,9.439,19.47,54.527,196297.0,2019-10-26 13:36:51.061000,1.0,0.0,0.0,0.0,4635.0,2.0,2.0,1.6,0.933,127.57,101.97,393.23,17874.0,0.0,0.0
2019-10-26 00:02:23.292409,447.3,0,12.222,1.038,12.192,0.0,1.162,18.0,20.0,20.0,25.0,3.0,0.0,12.219,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.9,1841.9,7052.0,1.0,1101.0,6.0,0.0,14.167,-16.967,-293.328,7.559,4.545,10.08,12.167,12.222,0.0,0.7,0.0,0.0,1,9.439,19.47,54.544,196357.0,2019-10-26 13:37:51.070000,1.0,0.0,0.0,0.0,4637.0,2.0,2.0,1.2,0.95,127.63,102.01,393.19,17872.0,0.0,0.0
2019-10-26 00:03:23.292367,447.32,0,12.222,1.035,12.192,0.0,1.162,18.0,20.0,20.0,25.0,3.0,0.0,12.222,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.9,1841.9,7052.0,1.0,1101.0,6.0,0.0,14.167,-16.967,-293.611,7.559,4.545,10.08,12.167,12.222,0.0,0.7,0.0,0.0,1,9.439,19.47,54.56,196417.0,2019-10-26 13:38:51.079000,1.0,0.0,0.0,0.0,4638.0,1.0,1.0,1.2,0.95,127.66,102.04,393.16,17871.0,0.0,0.0
2019-10-26 00:04:23.292383,447.33,0,12.222,1.016,12.192,0.0,1.181,18.0,20.0,20.0,25.0,3.0,0.0,12.222,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.9,1841.9,7052.0,1.0,1101.0,6.0,0.0,14.399,-17.199,-293.62,7.559,4.545,10.08,12.167,12.222,0.0,0.7,0.0,0.0,1,9.439,19.47,54.577,196477.0,2019-10-26 13:39:51.088000,1.0,0.0,0.0,0.0,4639.0,1.0,1.0,1.2,0.933,127.7,102.06,393.14,17870.0,0.0,0.0
2019-10-26 00:05:23.292395,447.35,0,12.213,1.01,12.192,0.0,1.237,18.0,20.0,20.0,25.0,3.0,0.0,12.219,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.9,1841.9,7052.0,1.0,1101.0,6.0,0.0,15.082,-17.882,-293.63,7.559,4.545,10.08,12.167,12.222,0.0,0.7,0.0,0.0,1,9.439,19.47,54.594,196537.0,2019-10-26 13:40:51.097000,1.0,0.0,0.0,0.0,4642.0,3.0,3.0,1.8,0.967,127.76,102.12,393.08,17867.0,0.0,0.0
2019-10-26 00:06:23.292367,447.37,0,12.219,0.998,12.189,0.0,1.198,18.0,20.0,20.0,25.0,3.0,0.0,12.219,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1841.9,1841.9,7052.0,1.0,1101.0,6.0,0.0,14.602,-17.402,-293.639,7.559,4.545,10.08,12.167,12.222,0.0,0.7,0.0,0.0,1,9.439,19.47,54.61,196597.0,2019-10-26 13:41:51.106000,1.0,0.0,0.0,0.0,4644.0,2.0,2.0,1.8,1.0,127.81,102.17,393.03,17865.0,0.0,0.0
2019-10-26 00:07:23.292365,447.38,0,12.222,1.022,12.192,0.0,1.162,18.0,20.0,20.0,25.0,3.0,0.0,12.219,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1842.0,1842.0,7052.0,1.0,1101.0,6.0,0.0,14.167,-16.967,-293.347,7.559,4.545,10.08,12.167,12.222,0.0,0.8,0.0,0.0,1,9.439,19.47,54.627,196657.0,2019-10-26 13:42:51.115000,1.0,0.0,0.0,0.0,4645.0,1.0,1.0,1.6,0.983,127.84,102.19,393.01,17864.0,0.0,0.0
2019-10-26 00:08:23.292571,447.4,0,12.222,1.028,12.192,0.0,1.164,18.0,20.0,20.0,25.0,3.0,0.0,12.219,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1842.0,1842.0,7052.0,1.0,1101.0,6.0,0.0,14.191,-16.991,-293.34,7.559,4.545,10.08,12.167,12.222,0.0,0.8,0.0,0.0,1,9.439,19.47,54.644,196717.0,2019-10-26 13:43:51.124000,1.0,0.0,0.0,0.0,4646.0,1.0,1.0,1.6,1.0,127.87,102.21,392.99,17863.0,0.0,0.0
2019-10-26 00:09:23.292473,447.42,0,12.219,1.031,12.192,0.0,1.184,18.0,20.0,20.0,25.0,3.0,0.0,12.219,0.0,2308.0,2308.0,31.2,1.0,0.0,11.484,1842.0,1842.0,7052.0,1.0,1101.0,6.0,0.0,14.435,-17.235,-293.345,7.559,4.545,10.08,12.167,12.222,0.0,0.8,0.0,0.0,1,9.439,19.47,54.66,196777.0,2019-10-26 13:44:51.132000,1.0,0.0,0.0,0.0,4647.0,1.0,1.0,1.6,1.017,127.92,102.23,392.97,17862.0,0.0,0.0
