time,runtime,ping,adc_vb_f,adc_va_f,adc_vl_f,adc_ic_f,adc_il_f,t_hs,t_batt,t_amb,t_rts,charge_state,array_fault,vb_f,vb_ref,ahc_r,ahc_t,kwhc,load_state,load_fault,v_lvd,ahl_r,ahl_t,hourmeter,alarm,dip_switch,led_state,power_out,power_load,sweep_vmp,sweep_pmax,sweep_voc,vb_min_daily,vb_max_daily,ahc_daily,ahl_daily,array_fault_daily,load_fault_daily,alarm_daily,vb_min,vb_max,sensor_uptime,sequence_count,timestamp,crc_errors,crc_errors_delta,crc_errors_hourly,crc_errors_daily,valid_packets,trigger_delta,trigger_rate_1min,trigger_rate_5min,trigger_rate_1hr,bytes_read,bytes_written,bytes_remaining,triggers_remaining,packets_sent,packets_dropped
2019-12-21 00:00:07.175341,53.77,0,12.604,0.555,12.573,0.0,1.09,13.0,13.0,13.0,25.0,3.0,0.0,12.604,0.0,65.1,65.1,0.9,1.0,0.0,11.484,54.1,54.1,8305.0,1.0,1101.0,6.0,0.0,13.705,8.322,4.711,11.096,12.601,12.643,0.0,0.7,0.0,0.0,1.0,9.439,19.47,53.184,191462.0,2019-12-21 14:36:55.156000,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.033,31.63,6.14,488.56,22207.0,5.0,0.0
2019-12-21 00:01:07.175347,53.78,0,12.604,0.552,12.573,0.0,1.092,13.0,13.0,13.0,25.0,3.0,0.0,12.604,0.0,65.1,65.1,0.9,1.0,0.0,11.484,54.2,54.2,8305.0,1.0,1101.0,6.0,0.0,13.73,8.322,4.711,11.096,12.601,12.643,0.0,0.8,0.0,0.0,1.0,9.439,19.47,53.201,191522.0,2019-12-21 14:37:55.163000,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.033,31.64,6.14,488.56,22207.0,5.0,0.0
2019-12-21 00:02:07.175370,53.8,0,12.604,0.549,12.573,0.0,1.094,13.0,13.0,13.0,25.0,3.0,0.0,12.604,0.0,65.1,65.1,0.9,1.0,0.0,11.484,54.2,54.2,8305.0,1.0,1101.0,6.0,0.0,13.755,8.322,4.711,11.096,12.601,12.643,0.0,0.8,0.0,0.0,1.0,9.439,19.47,53.217,191582.0,2019-12-21 14:38:55.171000,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.033,31.65,6.14,488.56,22207.0,5.0,0.0
2019-12-21 00:03:07.175347,53.82,0,12.604,0.555,12.573,0.0,1.094,13.0,13.0,13.0,25.0,3.0,0.0,12.604,0.0,65.1,65.1,0.9,1.0,0.0,11.484,54.2,54.2,8305.0,1.0,1101.0,6.0,0.0,13.755,8.322,4.711,11.096,12.601,12.643,0.0,0.8,0.0,0.0,1.0,9.439,19.47,53.234,191642.0,2019-12-21 14:39:55.179000,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.033,31.66,6.14,488.56,22207.0,5.0,0.0
2019-12-21 00:04:07.175342,53.83,0,12.604,0.549,12.573,0.0,1.092,13.0,13.0,13.0,25.0,3.0,0.0,12.604,0.0,65.1,65.1,0.9,1.0,0.0,11.484,54.2,54.2,8305.0,1.0,1101.0,6.0,0.0,13.73,8.322,4.711,11.096,12.601,12.643,0.0,0.8,0.0,0.0,1.0,9.439,19.47,53.251,191702.0,2019-12-21 14:40:55.187000,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.033,31.66,6.14,488.56,22207.0,5.0,0.0
